ssndataquality,dobdataquality,firstentrydate,state,matchingpersonalid,isbcpp,isbcpes,istlp,ismgh,issop,whenupdateddate,cleandashage,cleandashrace,cleandashethnicity,cleandashgender
99,99,8/21/2015,ct,540,,1,,,,20424,17,4,1,
99,1,9/10/2015,ct,541,,1,,,,20405,16,4,1,
99,99,9/18/2015,ct,542,,1,,,,20426,15,5,1,
99,99,10/9/2015,ct,543,,1,,,,20426,14,2,,
99,99,8/10/2015,ct,544,,1,,,,20426,17,5,,1
99,99,8/23/2015,ct,545,,1,,,,20426,14,4,,
99,99,8/24/2015,ct,546,,1,,,,20426,15,2,,1
99,99,9/7/2015,ct,547,,1,,,,20426,12,2,,1
99,99,10/2/2015,ct,548,,1,,,,20426,11,4,,1
99,99,11/1/2015,ct,549,,1,,,,20426,14,5,1,1
99,99,10/3/2015,ct,550,,1,,,,20426,14,4,1,2
99,99,10/4/2015,ct,551,,1,,,,20426,15,4,1,
99,99,10/5/2015,ct,552,,1,,,,20426,16,2,,1
99,99,10/11/2015,ct,553,,1,,,,20426,15,4,,
99,99,10/13/2015,ct,554,,1,,,,20426,14,4,1,
99,99,10/1/2015,ct,555,,1,,,,20426,16,4,1,1
99,1,11/1/2015,ct,556,,1,,,,20396,14,4,1,1
99,99,8/23/2015,ct,557,,1,,,,20426,17,4,,
99,99,9/26/2015,ct,558,,1,,,,20426,12,5,,1
99,1,11/12/2015,ct,559,,1,,,,20408,14,4,1,1
99,99,9/24/2015,ct,560,,1,,,,20426,13,4,,1
99,1,11/17/2015,ct,561,,1,,,,20426,12,4,1,
99,1,11/18/2015,ct,562,,1,,,,20412,11,4,1,
99,1,10/24/2015,ct,563,,1,,,,20415,13,2,,1
99,1,11/20/2015,ct,564,,1,,,,20415,14,2,,1
99,1,11/6/2015,ct,565,,1,,,,20424,14,1,,
99,1,12/7/2015,ct,566,,1,,,,20473,17,4,1,
99,1,12/28/2015,ct,567,,1,,,,20473,15,4,1,1
99,1,1/2/2016,ct,568,,1,,,,20486,16,2,,
99,1,1/13/2016,ct,569,,1,,,,20487,17,4,,1
99,1,1/7/2016,ct,570,,1,,,,20487,14,2,,
99,1,1/29/2016,ct,571,,1,,,,20487,13,4,1,
99,99,2/3/2016,ct,572,,1,,,,20515,13,4,,
99,1,2/17/2016,ct,573,,1,,,,20515,17,2,,
99,99,3/12/2016,ct,574,,1,,,,20529,16,4,,
99,99,2/17/2016,ct,575,,1,,,,20534,13,4,1,1
99,1,2/25/2016,ct,576,,1,,,,20534,15,2,,
99,1,2/27/2016,ct,577,,1,,,,20535,12,2,,1
99,99,3/1/2016,ct,578,,1,,,,20535,13,4,,
99,99,3/14/2016,ct,579,,1,,,,20535,13,4,1,
99,99,2/27/2016,ct,580,,1,,,,20535,15,4,,
99,99,3/3/2016,ct,581,,1,,,,20535,13,5,,1
99,99,3/16/2016,ct,582,,1,,,,20536,13,4,1,
99,1,3/17/2016,ct,583,,1,,,,20536,14,2,,
99,1,3/20/2016,ct,584,,1,,,,20536,14,4,,
99,1,3/20/2016,ct,585,,1,,,,20536,11,4,,1
99,1,3/21/2016,ct,586,,1,,,,20542,14,4,,1
99,1,3/21/2016,ct,587,,1,,,,20542,15,2,1,
99,1,3/24/2016,ct,588,,1,,,,20542,11,4,1,1
