,ssndataquality,dobdataquality,firstentrydate,state,matchingpersonalid,isbcpp,isbcpes,istlp,ismgh,issop,whenupdateddate,cleandashage,cleandashrace,cleandashethnicity,cleandashgender
60,1,99,1/16/2016,me,650,,1.0,,,1.0,20490,17,2.0,,1.0
70,1,99,10/8/2014,me,660,,1.0,1.0,,,20117,19,4.0,,1.0
78,1,1,2/12/2015,me,668,,1.0,,,1.0,20103,17,4.0,,1.0
86,1,1,10/21/2015,me,676,,1.0,,,1.0,20382,16,4.0,,
87,9,1,4/9/2015,me,677,,1.0,,,1.0,20202,18,4.0,,
100,1,1,1/29/2016,me,690,,1.0,1.0,,,20490,17,4.0,,
101,1,1,5/8/2015,me,691,,1.0,,,1.0,20249,17,4.0,,
102,1,99,2/26/2015,me,692,,1.0,1.0,,1.0,20208,18,4.0,,1.0
109,1,1,10/1/2015,me,699,,1.0,1.0,,,20411,18,4.0,,1.0
115,1,1,12/30/2015,me,705,,1.0,1.0,,,20464,17,4.0,,1.0
117,1,99,4/29/2015,me,707,,1.0,1.0,,,20220,17,4.0,,
123,1,99,2/10/2015,me,713,,1.0,1.0,,,20251,17,2.0,,
129,1,99,11/3/2015,me,719,,1.0,1.0,,,20437,18,2.0,,1.0
130,1,1,3/11/2015,me,720,,1.0,,,1.0,20231,17,4.0,,
139,1,1,10/9/2015,me,729,,1.0,,,1.0,20208,18,4.0,,3.0
140,1,99,12/3/2014,me,730,,1.0,1.0,,,20101,18,4.0,,
142,1,1,3/9/2016,me,732,,1.0,,,1.0,20507,17,4.0,,1.0
150,1,1,2/5/2015,me,740,,1.0,1.0,,1.0,20208,18,4.0,,
167,1,1,10/30/2014,me,757,,1.0,,,1.0,20103,17,4.0,,1.0
173,1,1,2/16/2016,me,763,,1.0,1.0,,1.0,20251,18,4.0,,1.0
176,1,1,11/20/2015,me,766,,1.0,1.0,,,20418,19,4.0,,1.0
182,1,1,3/21/2016,me,772,,1.0,,,1.0,20489,17,2.0,,
185,1,1,8/19/2015,me,775,,1.0,,,1.0,20321,17,4.0,,
186,1,99,10/15/2014,me,776,,1.0,,,1.0,20102,18,4.0,,
207,1,99,3/13/2015,me,797,,1.0,,,1.0,20277,17,4.0,,
214,1,1,10/17/2014,me,804,,1.0,,,1.0,20192,15,4.0,,1.0
217,1,99,9/8/2014,me,807,,1.0,1.0,,,20049,18,4.0,,
226,1,1,5/18/2015,me,816,,,1.0,,1.0,20241,18,4.0,,
244,1,1,9/8/2015,me,835,,,1.0,,1.0,20117,18,4.0,,
